Concentração de entrada;Vazão de entrada;Temperatura de entrada;Nível do Reator;Concentração de Produto A;Concentração de Produto B;Temperatura do Reator;Vazão de Refrigerante;Vazão de Produto;Temperatura Refrigerante;Pressão Refrigerante;Sinal de Controle Nível;Sinal de Controle de Vazão;Setpoint Controle Vazão;Falha;data
19.64;0.24915;30.07;1.982;2.8499;17.065;80.181;0.95605904;0.25058;20.014;56039;25.288;40.685;0.90008;1;25/01/2021 02:20
19.681;0.24859;29.964;1.9897;2.8653;17.099;79.775;0.907378926;0.24748;19.73;56636;25.361;40.443;0.90471;1;25/01/2021 02:30
19.947;0.24838;29.782;1.9906;2.8405;16.884;79.931;0.864784828;0.25205;19.965;56037;25.124;40.694;0.90277;1;25/01/2021 02:40
20.072;0.24848;29.857;2.0069;2.8513;16.961;80.177;0.886619768;0.25223;20.098;55844;25.018;40.919;0.90538;1;25/01/2021 02:50
20.229;0.25228;29.742;2.0132;2.8344;16.889;79.948;0.967753042;0.24931;20.093;56658;25.187;40.87;0.91086;1;25/01/2021 03:00
19.794;0.25223;30.085;2.0181;2.8583;17.002;79.924;0.912552875;0.24795;19.745;56167;24.859;40.814;0.90644;1;25/01/2021 03:10
19.971;0.25061;30.14;1.9891;2.8732;17.115;80.132;0.849638736;0.25116;19.957;55986;25.106;40.483;0.90955;1;25/01/2021 03:20
19.775;0.24956;29.985;1.9898;2.8725;17.035;80.145;0.923731607;0.24919;19.955;56204;25.814;41.095;0.91345;1;25/01/2021 03:30
19.91;0.25263;30.005;2.0021;2.8621;17.189;80.13;0.852400682;0.25234;19.925;55777;24.338;40.977;0.90229;1;25/01/2021 03:40
20.062;0.24848;29.849;2.0175;2.8104;16.827;80.178;0.904491202;0.24795;19.981;55447;24.792;40.309;0.89807;1;25/01/2021 03:50
20.103;0.24592;29.95;2.0095;2.8338;17.017;80.286;0.874868753;0.24641;19.873;56100;25.448;41.093;0.9014;1;25/01/2021 04:00
19.93;0.25007;29.939;2.0133;2.8359;17.416;80.022;0.873675599;0.25013;19.733;55759;24.721;40.6;0.8956;1;25/01/2021 04:10
19.699;0.24547;30.061;1.9911;2.8619;17.254;80.153;0.90244628;0.2505;20.099;56850;25.294;40.678;0.89703;1;25/01/2021 04:20
19.972;0.24938;29.693;1.9935;2.8528;17.149;79.775;0.897456707;0.25205;19.971;56376;25.483;40.555;0.89667;1;25/01/2021 04:30
20.078;0.24775;30.196;1.9982;2.8727;17.163;80.091;0.959057357;0.24964;20.252;55664;25.443;40.562;0.8885;1;25/01/2021 04:40
19.914;0.24955;30.142;2.0005;2.7999;17.419;80.118;0.802663474;0.25036;20.016;55937;25.202;40.673;0.89853;1;25/01/2021 04:50
19.91;0.24924;29.698;2.005;2.8686;16.998;80.079;0.877173455;0.25124;20.327;55647;24.405;40.285;0.90654;1;25/01/2021 05:00
20.139;0.24828;29.988;1.9969;2.8353;17.038;79.657;0.854863194;0.24751;20.022;56938;24.865;41.133;0.90238;1;25/01/2021 05:10
20.14;0.25165;30.007;1.9894;2.8202;17.146;79.892;0.83600349;0.2519;19.923;55903;25.672;40.858;0.90098;1;25/01/2021 05:20
20.113;0.25266;29.889;2.0098;2.848;17.074;79.8;0.875010135;0.25067;19.977;56110;25.73;41.093;0.88951;1;25/01/2021 05:30
19.837;0.24872;29.933;1.9934;2.8569;16.981;79.99;0.863754976;0.25071;20.062;56355;25.605;40.311;0.89731;1;25/01/2021 05:40
20.095;0.25103;30.007;1.9807;2.824;17.127;79.945;0.889286699;0.25005;19.8;55782;25.586;40.641;0.89924;1;25/01/2021 05:50
20.11;0.2536;29.997;2.012;2.8242;17.103;79.975;0.912851761;0.24715;20.109;55756;25.016;40.118;0.90711;1;25/01/2021 06:00
20.063;0.25016;29.72;2.0191;2.8097;17.023;80.044;0.84735223;0.25185;20.026;56388;25.533;40.467;0.89954;1;25/01/2021 06:10
19.821;0.25084;29.899;1.9879;2.8676;17.218;80.215;0.892034583;0.24985;20.059;55867;25.139;40.586;0.90214;1;25/01/2021 06:20
20.373;0.24974;30.165;1.9888;2.8487;17.077;80.466;0.875786856;0.2541;20.311;56521;25.174;40.546;0.90498;1;25/01/2021 06:30
19.939;0.25055;30.241;1.9882;2.835;17.236;79.936;0.923748402;0.24952;20.202;56350;24.83;40.64;0.90885;1;25/01/2021 06:40
19.97;0.24902;29.697;2.0092;2.8442;17.139;80.022;0.972512113;0.24984;20.212;56720;25.768;40.867;0.90004;1;25/01/2021 06:50
20.021;0.24991;30.22;2.0056;2.8745;17.338;79.81;0.847377067;0.25004;19.996;55691;26.041;40.468;0.91001;1;25/01/2021 07:00
19.953;0.24864;30.104;1.9887;2.8356;17.17;79.906;0.884681254;0.24948;19.736;56502;25.328;40.856;0.90587;1;25/01/2021 07:10
19.966;0.25111;30.166;2.0005;2.8418;16.956;79.913;0.935435607;0.25335;20.082;56833;25.485;40.568;0.91013;1;25/01/2021 07:20
20.055;0.24962;29.804;1.9945;2.8665;17.056;79.843;0.828981006;0.2503;20.054;56287;24.958;40.693;0.90264;1;25/01/2021 07:30
19.784;0.25333;30.437;2.0016;2.8517;17.111;79.932;0.976732084;0.24627;20.146;56363;24.978;40.982;0.90064;1;25/01/2021 07:40
19.805;0.25188;30.275;2.0029;2.8415;17.453;80.19;0.909392977;0.25054;19.949;56487;25.158;40.332;0.89162;1;25/01/2021 07:50
20.008;0.25115;30.078;1.9978;2.8632;17.025;79.866;0.919531892;0.2487;20.071;55077;24.388;40.645;0.88693;1;25/01/2021 08:00
20.075;0.24919;29.963;2.0148;2.8769;17.047;79.85;0.872996082;0.24881;19.738;56305;26.226;40.778;0.89481;1;25/01/2021 08:10
19.949;0.25205;30.109;1.9947;2.8678;17.263;79.846;0.907716216;0.25579;19.569;56219;25.732;40.489;0.903;1;25/01/2021 08:20
20.01;0.24828;29.97;2.0143;2.8407;17.225;80.123;0.903234399;0.2533;20.024;56026;25.358;40.595;0.9077;1;25/01/2021 08:30
20.181;0.25024;29.999;2.0021;2.858;17.242;80.01;0.879514355;0.24628;20.25;56353;24.996;40.298;0.90492;1;25/01/2021 08:40
20.147;0.25199;30.096;1.9901;2.862;17.26;80.224;0.910573888;0.24955;19.79;55951;25.15;40.732;0.89605;1;25/01/2021 08:50
19.95;0.24802;30.264;1.9788;2.8504;17.076;80.183;0.970180076;0.25245;20.076;56509;24.946;40.88;0.91601;1;25/01/2021 09:00
19.928;0.2497;29.95;1.9989;2.8566;16.988;79.993;0.946301917;0.24948;19.959;56474;25.364;40.268;0.89211;1;25/01/2021 09:10
19.915;0.25156;30.022;1.9902;2.8668;17.224;80;0.943894704;0.25266;19.807;55649;24.967;40.699;0.89004;1;25/01/2021 09:20
20.225;0.24907;30.171;1.9804;2.8843;16.883;80.186;0.880581304;0.2486;19.998;55821;24.684;40.492;0.90292;1;25/01/2021 09:30
20.113;0.2498;30.033;1.9962;2.8591;17.026;80.09;0.857404902;0.24708;20.016;55923;24.883;40.789;0.89851;1;25/01/2021 09:40
19.879;0.25243;30.238;2.0181;2.8655;17.115;80.153;0.931515448;0.24759;19.972;56226;25.055;40.795;0.90607;1;25/01/2021 09:50
20.126;0.25039;30.015;2.0109;2.8369;16.94;79.887;0.892245704;0.24947;19.9;56259;24.708;41.012;0.89895;1;25/01/2021 10:00
20.263;0.24874;29.66;2.0033;2.8476;17.352;79.874;0.888023787;0.25356;20.024;56591;25.154;40.791;0.90697;1;25/01/2021 10:10
20.18;0.24541;29.907;1.9989;2.8239;17.24;80.259;0.905976053;0.25115;19.902;56414;25.656;40.378;0.90109;1;25/01/2021 10:20
19.932;0.24834;30.086;2.0099;2.8157;17.035;79.692;0.923130561;0.24753;19.987;56291;25.216;40.9;0.89874;1;25/01/2021 10:30
19.833;0.25092;30.001;1.9824;2.83;16.971;79.808;0.88396079;0.24943;19.921;56692;25.018;40.729;0.89723;1;25/01/2021 10:40
20.098;0.24967;29.911;1.9971;2.8574;17.003;80.276;0.897949786;0.24837;19.977;56118;25.206;40.876;0.90507;1;25/01/2021 10:50
20.218;0.25219;29.914;1.9946;2.8398;16.932;80.131;0.863429978;0.24599;19.975;55891;25.91;40.82;0.89483;1;25/01/2021 11:00
19.775;0.24858;29.799;2.01;2.8525;17.323;80.034;0.941274701;0.25181;19.948;56459;24.855;40.811;0.90579;1;25/01/2021 11:10
20.107;0.24747;30.133;1.9793;2.8519;16.908;79.921;0.961310402;0.25049;19.769;56325;24.774;40.988;0.89838;1;25/01/2021 11:20
20.039;0.24977;30.118;1.994;2.8938;17.365;80.047;0.898893981;0.24858;19.982;55858;25.266;40.716;0.90008;1;25/01/2021 11:30
19.733;0.24875;29.687;2.001;2.8397;17.108;79.991;0.858746084;0.24821;19.913;56268;25.027;40.729;0.90583;1;25/01/2021 11:40
19.801;0.25002;29.912;1.9955;2.844;17.116;80.313;0.889350389;0.25068;20.328;56646;24.773;40.972;0.89203;1;25/01/2021 11:50
20.032;0.25006;30.041;2.019;2.8371;16.949;80.035;0.908022362;0.25221;20.129;56695;25.87;40.516;0.90169;1;25/01/2021 12:00
19.939;0.25276;29.891;1.9992;2.8693;17.166;79.987;0.922626707;0.24908;20.14;55617;24.659;40.4;0.90062;1;25/01/2021 12:10
20.224;0.2475;29.99;2.0076;2.8561;16.819;80.115;0.828584909;0.24793;19.973;55856;25.391;40.951;0.89979;1;25/01/2021 12:20
19.709;0.25059;30.268;2.0197;2.8732;17.193;79.981;0.891337632;0.24948;19.856;56649;25.011;40.299;0.91074;1;25/01/2021 12:30
19.936;0.24971;29.776;2.0037;2.8296;17.132;79.781;0.823149205;0.2468;19.786;56552;25.591;40.668;0.89925;1;25/01/2021 12:40
20.047;0.25132;30.169;2.0068;2.8635;17.272;79.996;0.885096504;0.2518;19.948;57037;24.601;40.626;0.90956;1;25/01/2021 12:50
19.901;0.24915;29.849;1.9908;2.8602;17.249;79.834;0.945587478;0.25149;20.117;56454;25.25;40.208;0.90196;1;25/01/2021 13:00
20.049;0.2464;29.697;2.0149;2.8557;17.079;80.176;0.848620739;0.25302;19.857;56555;24.947;40.778;0.90299;1;25/01/2021 13:10
19.866;0.2495;30.03;1.9927;2.8821;17.055;79.931;0.903064774;0.24889;19.948;56703;25.363;40.367;0.89906;1;25/01/2021 13:20
19.893;0.25046;30.015;1.9991;2.8644;17.462;80.072;0.887588913;0.24987;20.02;56879;24.953;40.626;0.90757;1;25/01/2021 13:30
