Concentração de entrada;Vazão de entrada;Temperatura de entrada;Nível do Reator;Concentração de Produto A;Concentração de Produto B;Temperatura do Reator;Vazão de Refrigerante;Vazão de Produto;Temperatura Refrigerante;Pressão Refrigerante;Sinal de Controle Nível;Sinal de Controle de Vazão;Setpoint Controle Vazão;Falha;data
19.772;0.25016;29.998;2.0051;2.8256;17.026;79.896;0.898463751;0.25107;19.77;56179;25.318;40.696;0.90018;1;01/09/2020 00:00
20.065;0.25081;29.802;2.01;2.8852;17.035;80.073;0.891157625;0.24818;20.118;56457;25.984;40.898;0.90144;1;01/09/2020 00:10
20.002;0.24556;29.891;2.0024;2.8467;17.294;80.122;0.933015095;0.25265;19.631;56551;24.465;40.578;0.90325;1;01/09/2020 00:20
20.113;0.24682;30.224;2.0189;2.8861;17.18;80.118;0.841401208;0.25237;20.189;55726;25.423;41.126;0.89676;1;01/09/2020 00:30
19.844;0.25269;30.161;1.9772;2.8411;17.054;79.906;0.828419842;0.24857;19.964;56116;25.013;40.858;0.89503;1;01/09/2020 00:40
20.036;0.25265;30.209;2.0119;2.8159;17.114;80.119;0.917447348;0.24771;20.126;56198;25.011;40.707;0.90184;1;01/09/2020 00:50
20.235;0.25101;30.042;2.01;2.828;17.085;79.904;0.91659952;0.24802;19.75;55742;25.551;40.819;0.89875;1;01/09/2020 01:00
19.975;0.25006;30.062;1.9872;2.8623;17.138;80.082;0.904615686;0.25236;19.753;55865;25.282;40.955;0.90461;1;01/09/2020 01:10
19.953;0.2466;29.97;1.9888;2.8675;17.087;80.217;0.919127376;0.24775;20.038;56107;24.949;40.589;0.89732;1;01/09/2020 01:20
20.155;0.25158;29.922;2.0201;2.8619;17.135;80.154;0.939319624;0.24801;20.118;56739;25.536;40.451;0.90218;1;01/09/2020 01:30
19.997;0.24974;30.045;1.9935;2.844;17.053;80.13;0.945047912;0.24602;20.177;56627;25.138;40.827;0.90426;1;01/09/2020 01:40
19.724;0.25254;29.901;2.0039;2.8392;17.058;80.223;0.879477217;0.24917;20.058;56296;25.682;41.039;0.89952;1;01/09/2020 01:50
19.907;0.2519;29.977;2.005;2.8668;17.042;80.028;0.931218883;0.25096;20.128;56549;25.628;41.075;0.89501;1;01/09/2020 02:00
20.3;0.24812;29.742;1.9956;2.8426;17.148;80.133;0.909319895;0.24757;20.016;55958;25.095;40.821;0.89389;1;01/09/2020 02:10
19.874;0.24763;29.89;1.9979;2.856;17.138;80.061;0.877568297;0.24803;19.84;56111;24.888;40.687;0.89672;1;01/09/2020 02:20
20.089;0.25174;30.436;2.0072;2.8901;17.17;80.06;0.850777768;0.24614;20.126;56453;25.437;40.586;0.89503;1;01/09/2020 02:30
20.054;0.25192;29.855;2.0114;2.8421;17.232;79.914;0.935008838;0.24627;19.832;56080;25.939;40.156;0.9051;1;01/09/2020 02:40
20.253;0.25036;30.039;1.9903;2.853;17.097;79.811;0.891535096;0.25173;19.944;55793;24.624;40.642;0.9093;1;01/09/2020 02:50
19.996;0.25151;30.272;2.006;2.8425;17.276;80.043;0.904337381;0.2497;19.813;55990;24.941;40.497;0.90345;1;01/09/2020 03:00
19.983;0.25086;29.831;1.9852;2.8265;16.967;79.915;0.8697021;0.25065;20.253;56460;25.638;40.494;0.90086;1;01/09/2020 03:10
19.888;0.24728;29.981;2.0031;2.8371;17.202;80.146;0.834799421;0.24738;19.935;56951;25.164;40.604;0.90824;1;01/09/2020 03:20
19.863;0.24977;30.295;2.0167;2.8146;16.995;79.996;0.898733454;0.24891;19.734;56600;25.19;40.394;0.90012;1;01/09/2020 03:30
20.271;0.24791;29.681;2.0086;2.8717;17.366;79.879;0.902224435;0.25447;19.941;55943;25.29;41.232;0.90149;1;01/09/2020 03:40
20.251;0.25126;30.243;2.0025;2.8554;16.991;80.03;0.949161115;0.24971;19.903;57222;25.033;40.622;0.89726;1;01/09/2020 03:50
19.918;0.24817;30.047;1.9946;2.8415;17.052;80.192;0.937378163;0.24694;19.873;55820;25.823;40.88;0.90044;1;01/09/2020 04:00
20.288;0.25277;29.94;2.0009;2.8374;17.233;80.078;0.952562183;0.25561;19.906;56355;24.728;40.614;0.89569;1;01/09/2020 04:10
20.172;0.25064;30.011;1.9986;2.8732;16.885;80.15;0.87427493;0.25091;19.999;56073;24.82;40.685;0.89924;1;01/09/2020 04:20
20.032;0.2525;29.877;1.9932;2.8573;17.222;80.09;0.86984694;0.25104;20.011;56997;25.012;40.759;0.90903;1;01/09/2020 04:30
20.246;0.24978;30.235;1.9851;2.8384;17.236;80.116;0.848846529;0.24942;19.883;55904;25.029;40.673;0.90692;1;01/09/2020 04:40
19.975;0.25145;29.96;1.9933;2.858;17.099;79.967;0.916079225;0.25278;20.185;56767;25.271;40.502;0.90243;1;01/09/2020 04:50
20.019;0.25073;30.118;2.0075;2.8426;17.091;80.06;1.009783245;0.2526;19.908;55970;25.498;40.833;0.90257;1;01/09/2020 05:00
19.933;0.25064;30.118;2.0014;2.853;17.223;80.033;0.929292881;0.24988;20.213;56379;24.888;40.595;0.89553;1;01/09/2020 05:10
20.2;0.25117;30.069;1.9976;2.8534;17.041;79.911;0.866347436;0.24519;20.08;56690;24.922;40.742;0.8957;1;01/09/2020 05:20
20.041;0.25013;30.316;2.0006;2.8851;17.102;79.882;0.93595535;0.253;19.725;56165;25.752;40.417;0.90393;1;01/09/2020 05:30
19.744;0.24678;30.048;2.007;2.8328;17.186;80.134;0.852576788;0.25195;19.89;56501;25.001;40.536;0.8963;1;01/09/2020 05:40
19.916;0.25153;30.108;2.0123;2.8594;17.243;80.188;0.834431196;0.25232;20.057;56014;24.989;40.392;0.90764;1;01/09/2020 05:50
20.117;0.25393;30.071;2.0054;2.8179;17.169;79.988;0.924027693;0.2562;19.904;56732;24.782;40.685;0.89825;1;01/09/2020 06:00
19.89;0.2467;30.04;1.9971;2.8337;16.978;80.036;0.881113779;0.24963;20.001;56162;25.37;40.73;0.88812;1;01/09/2020 06:10
20.059;0.24892;29.944;2.0102;2.8816;17.117;80.031;0.915719435;0.25169;20.025;56178;25.217;40.599;0.90265;1;01/09/2020 06:20
20.029;0.25065;30.315;1.9917;2.8313;17.263;80.065;0.953801406;0.24766;20.128;56392;25.101;40.824;0.89516;1;01/09/2020 06:30
20.138;0.25082;29.949;2.0128;2.8244;17.201;79.968;0.927614985;0.25179;20.081;56161;25.402;40.306;0.90402;1;01/09/2020 06:40
20.146;0.24893;30.196;2.0052;2.836;16.999;79.942;0.946066411;0.25195;20.365;56177;25.188;40.728;0.90308;1;01/09/2020 06:50
20.11;0.24776;29.9;1.9874;2.8168;17.271;80.005;0.839337912;0.25188;19.799;56352;25.331;41.16;0.90293;1;01/09/2020 07:00
20.126;0.25141;29.692;2.0105;2.8286;17.377;80.062;0.93027145;0.24736;20.163;55796;25.054;40.873;0.90849;1;01/09/2020 07:10
19.996;0.25167;29.894;1.9951;2.8258;17.163;80.006;0.99833009;0.25089;19.767;56176;25.053;40.839;0.90099;1;01/09/2020 07:20
20.292;0.25032;29.837;2.0071;2.8253;17.086;79.881;0.926415577;0.24354;20.042;56164;25.031;40.777;0.90115;1;01/09/2020 07:30
19.973;0.25259;30.044;2.0114;2.8837;17.043;80.237;0.840914913;0.24599;20.049;55959;24.559;40.884;0.90418;1;01/09/2020 07:40
19.994;0.24892;30.006;2.0096;2.8477;17.046;79.624;0.895044288;0.25289;19.996;56516;25.719;40.501;0.89814;1;01/09/2020 07:50
19.959;0.25185;29.922;2.0052;2.8527;17.321;80.183;0.886151391;0.24993;20.047;56145;25.496;40.89;0.90962;1;01/09/2020 08:00
19.901;0.25156;29.936;1.9998;2.8559;17.057;80.017;0.908170957;0.25309;19.906;56016;24.729;40.583;0.90006;1;01/09/2020 08:10
19.944;0.25003;29.957;1.9924;2.8272;17.182;79.923;0.919001415;0.24864;20.097;55526;25.49;40.866;0.89525;1;01/09/2020 08:20
20.043;0.24929;30.022;2.0088;2.8449;17.286;80.115;0.919289702;0.24368;20.092;55973;25.364;40.885;0.89686;1;01/09/2020 08:30
19.813;0.25136;30.091;2.0021;2.822;17.017;80.106;0.88714877;0.24715;19.896;56376;25.41;40.541;0.89782;1;01/09/2020 08:40
20.172;0.25195;29.939;2.0022;2.8543;17.024;79.907;0.873679118;0.24951;19.903;56018;25.25;40.453;0.90155;1;01/09/2020 08:50
20.088;0.25107;30.155;1.9927;2.857;17.081;80.217;0.87164644;0.25123;20.159;56340;25.134;40.715;0.90295;1;01/09/2020 09:00
20.032;0.25247;30.003;1.9908;2.8467;16.921;80.036;0.932891633;0.24979;19.627;55286;25.444;40.858;0.89227;1;01/09/2020 09:10
19.92;0.25368;30.208;1.9974;2.8585;17.22;80.054;0.822839677;0.24928;19.88;56209;24.978;41.015;0.9097;1;01/09/2020 09:20
20.175;0.25029;30.173;1.9925;2.8629;17.093;79.678;0.897377874;0.24563;20.013;56562;25.669;40.541;0.89222;1;01/09/2020 09:30
20.152;0.24954;29.888;2.0329;2.8516;17.23;80.097;0.898785128;0.25132;20.021;56594;24.886;40.78;0.89701;1;01/09/2020 09:40
19.914;0.249;29.868;2.0067;2.8497;17.29;79.779;0.87012916;0.24876;20.096;56137;24.345;40.303;0.90262;1;01/09/2020 09:50
19.99;0.24918;29.992;1.9866;2.8531;16.983;79.88;0.929139091;0.25328;20.065;56049;25.499;40.822;0.91409;1;01/09/2020 10:00
20.1;0.25433;30.178;2.0085;2.856;17.013;80.017;0.896187214;0.24922;19.911;56531;25.367;40.559;0.90547;1;01/09/2020 10:10
20.105;0.25235;29.794;2.0041;2.8708;17.065;80.122;0.864267948;0.24814;19.97;56517;25.353;40.923;0.89678;1;01/09/2020 10:20
19.931;0.2516;30.071;2.0019;2.8564;17.652;80.03;0.911034541;0.24986;20.013;57151;24.99;40.615;0.8889;1;01/09/2020 10:30
19.841;0.25245;29.915;2.0085;2.8326;17.326;80.008;0.890522685;0.25077;19.983;55810;24.741;40.882;0.89692;1;01/09/2020 10:40
20.062;0.24896;29.924;1.9915;2.8506;16.996;80.062;0.881375094;0.25046;19.893;56184;25.724;40.752;0.89885;1;01/09/2020 10:50
20.076;0.25467;29.975;1.9966;2.8947;17.221;79.989;0.877547092;0.25592;20.26;56400;25.53;40.344;0.88828;1;01/09/2020 11:00
19.979;0.25151;30.096;1.9823;2.8598;17.082;80.012;0.909047819;0.24622;19.83;54558;25.588;40.558;0.89622;1;01/09/2020 11:10
20.002;0.25213;30.334;1.9881;2.8635;17.088;80.031;0.824354831;0.24687;19.973;56241;25.22;40.95;0.90189;1;01/09/2020 11:20
20.011;0.25156;30.171;2.0209;2.8213;17.261;79.914;0.884196675;0.24747;20.055;56008;25.539;40.904;0.90535;1;01/09/2020 11:30
20.057;0.24895;30.158;2.0061;2.8062;17.132;80.083;0.874548075;0.25442;20.046;56114;24.94;41.209;0.89626;1;01/09/2020 11:40
19.826;0.2466;29.891;2.0018;2.8502;16.893;80.143;0.86908406;0.25299;19.907;56027;25.779;40.542;0.89503;1;01/09/2020 11:50
19.736;0.24959;30.105;1.9975;2.8612;17.246;79.907;0.932127944;0.24966;20.15;56795;24.513;41.098;0.89929;1;01/09/2020 12:00
20.151;0.24977;30.233;2.0019;2.829;16.966;79.729;0.87236915;0.2453;20.344;56109;25.36;40.618;0.91733;1;01/09/2020 12:10
20.031;0.24852;29.971;1.9899;2.8449;17.096;79.92;0.909335324;0.24811;20.276;55548;25.505;40.762;0.8924;1;01/09/2020 12:20
19.946;0.25122;29.948;1.9852;2.885;16.92;80.009;0.939753635;0.25135;19.923;56252;25.919;41.29;0.88795;1;01/09/2020 12:30
20.081;0.24724;30.076;1.9841;2.8659;17.447;80.281;0.885215183;0.25041;20.18;56308;24.639;40.426;0.89303;1;01/09/2020 12:40
19.995;0.24754;29.958;2.0146;2.8081;16.971;79.989;0.922151973;0.24607;19.843;56054;24.594;40.969;0.90283;1;01/09/2020 12:50
19.711;0.25023;29.972;1.9923;2.8376;16.86;79.974;0.922280692;0.25081;19.939;56002;25.642;40.765;0.89799;1;01/09/2020 13:00
20.022;0.24886;29.977;2.0008;2.8381;17.309;79.893;0.890860879;0.24514;19.995;56725;25.415;40.663;0.8952;1;01/09/2020 13:10
19.956;0.24691;29.783;2.0039;2.845;17.138;79.913;0.925354806;0.24923;19.91;55699;25.119;40.471;0.89976;1;01/09/2020 13:20
19.961;0.25039;29.892;2.0074;2.88;16.948;80.192;0.845147406;0.24872;19.881;56090;25.24;40.918;0.89013;1;01/09/2020 13:30
19.7;0.24664;30.07;1.9984;2.8266;17.055;79.944;0.939836954;0.24626;20.103;56173;25.352;41.15;0.88948;1;01/09/2020 13:40
19.889;0.24538;29.798;2.0056;2.8462;17.164;80.045;0.854057493;0.24598;20.012;56339;25.095;41.032;0.89727;1;01/09/2020 13:50
19.981;0.25162;29.939;2.0051;2.8556;17.239;79.995;0.829016563;0.24854;19.817;56420;25.022;40.557;0.89457;1;01/09/2020 14:00
20.135;0.24896;29.771;2.0052;2.843;17.231;79.951;0.95038994;0.24951;20.093;55732;25.155;41.089;0.89995;1;01/09/2020 14:10
20.124;0.25074;30.037;2.016;2.8655;16.94;79.95;0.895850928;0.25091;20.062;55921;24.728;40.725;0.89727;1;01/09/2020 14:20
20.07;0.25061;30.072;1.9842;2.8883;17.397;80.112;0.926326845;0.25034;19.768;56668;25.674;40.537;0.89655;1;01/09/2020 14:30
20.135;0.24693;30.044;2.0133;2.8523;17.069;80.001;0.883169661;0.2471;20.066;56739;25.095;40.853;0.89216;1;01/09/2020 14:40
20.097;0.24999;29.947;2.0011;2.8319;17.258;79.983;0.846116664;0.25024;20.285;56143;24.886;40.702;0.90059;1;01/09/2020 14:50
19.853;0.25047;30.028;2.0037;2.8338;17.21;80.169;0.777430458;0.24783;20.109;56811;24.508;40.696;0.8994;1;01/09/2020 15:00
